ds,yhat,yhat_lower,yhat_upper
2023-03-27,1087.3479049245523,1023.6124378139931,1149.0608036055835
2023-03-28,1157.0386507702858,1088.9592274250958,1217.9474089149764
2023-03-29,1183.2847829946945,1124.312063412583,1242.9485545600166
2023-03-30,1125.2890330182342,1066.3477805737357,1186.8121450447827
2023-03-31,1045.658977369937,985.4628771079016,1109.280078077168
2023-04-01,993.2756253150358,933.3426733844548,1054.3025265148433
2023-04-02,1015.6843351978142,955.1258326560026,1078.9801225787614
2023-04-03,1095.1954686690624,1035.9918438513914,1155.7082836008121
2023-04-04,1165.5828547664619,1106.4281281894855,1226.298280435086
2023-04-05,1192.5165690031474,1126.9619258002338,1252.0323763162924
2023-04-06,1135.1843601966486,1074.5575956878145,1197.5882180628687
2023-04-07,1056.179383238172,997.0359905233308,1120.5778854036876
